ср сент. 15 2021,"5, fff, 5"
['3075'],['1004000.0']
['2958'],['799200.0']
['2852'],['870434.7826086957']
['2741'],['1004000.0']
['2670'],['1184705.8823529412']
['2596'],['2255555.5555555555']
['3179'],['910909.0909090909']
['3071'],['640645.1612903225']
['2928'],['582352.9411764706']
['2802'],['640645.1612903225']
['2696'],['767692.3076923077']
['2594'],['833333.3333333334']
['2581'],['1004000.0']
['2828'],['1057894.7368421052']
['2978'],['870434.7826086957']
['3169'],['620000.0']
['3017'],['467619.04761904763']
['2861'],['479512.1951219512']
['2711'],['533513.5135135135']
['2627'],['620000.0']
['2548'],['662666.6666666666']
['2712'],['738518.5185185185']
['2889'],['738518.5185185185']
['3026'],['620000.0']
['3173'],['505128.2051282051']
['3021'],['406666.6666666667']
['2883'],['406666.6666666667']
['2746'],['445454.54545454547']
['2641'],['492000.0']
['2574'],['565142.8571428572']
['2648'],['620000.0']
['2824'],['620000.0']
['2980'],['565142.8571428572']
['3116'],['479512.1951219512']
['3082'],['415744.6808510638']
['2952'],['359259.25925925927']
['2811'],['381568.6274509804']
['2701'],['415744.6808510638']
['2611'],['456279.06976744183']
['2543'],['505128.2051282051']
['2714'],['565142.8571428572']
['2888'],['533513.5135135135']
['3040'],['456279.06976744183']
['3138'],['397959.1836734694']
['2997'],['345714.28571428574']
['2860'],['339298.2456140351']
